id,bucket,company,role_title,level,sector,degree_expectation_as_written,advanced_degree_mba_jd,reciprocal_fluency_required_as_qualification,how_other_domain_appears,compliance_regulatory_concepts_named,business_finance_concepts_named,verification,posting_status,scan_date,source_url
1,Compliance,Dyne Therapeutics,"Director, Compliance",Director,Biotech (rare disease),"Advanced degree in law, business administration or related field",Required (law/business),YES,Business fluency = stated candidate qualification,PhRMA Code; Anti-Kickback Statute; False Claims Act; transparency laws; HCP & patient engagement; data privacy,Business judgment; commercialization; Value & Access,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/dynetherapeutics/jobs/5774158004
2,Compliance,Iterative Health,"Director, Compliance",Director,Health-tech / clinical research,Bachelor's + 8 yrs OR JD/advanced + 5 yrs; advanced degree preferred,Preferred (JD/advanced),PARTIAL,Business fluency = partial qualification,Anti-Kickback Statute; Stark Law; PhRMA Code; GDPR; HIPAA; SOC 2; GCP; ICH; 21 CFR Part 11,Corporate governance; financial reporting awareness; contract terms,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/iterativehealth/jobs/4671523006
3,Compliance,Garner Health,"Director, Regulatory & Compliance",Director,Health-tech / benefits,J.D. from U.S. law school + state bar admission,Required (JD),YES,Business fluency = stated qualification (advises Revenue/Marketing),ERISA; HIPAA; IRS; state TPA regimes; privacy; insurance regulation; GRC,Revenue; Marketing; product strategy; GRC,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/garnerhealth/jobs/5753291004
4,Compliance,Paratek Pharmaceuticals,"Associate Director, Compliance",Associate Director,Pharma,Undergraduate degree required (no advanced degree mentioned),Not mentioned,YES,Business fluency = stated candidate qualification,Anti-Kickback Statute; False Claims Act; OIG Guidance; PhRMA Code; FDCA; aggregate spend; transparency; speaker-program & field monitoring,Business acumen; business judgment; risk management,Full-text fetched,Archived (removed ~Nov 2025); text preserved,5/30/2026,https://builtin.com/job/associate-director-compliance/6562197
5,Compliance,Paratek Pharmaceuticals,"Associate Director, Compliance Operations",Associate Director,Pharma,Bachelor's degree required,Not mentioned,YES,Business fluency = stated candidate qualification,Anti-Kickback Statute; False Claims Act; OIG Guidance; PhRMA Code; FDCA; aggregate spend; Open Payments (Sunshine Act); state licensing,Business acumen; data analytics; dashboards; Tableau; Veeva CRM,Full-text fetched,Live (dated May 2026),5/30/2026,https://job-boards.greenhouse.io/paratekpharmaceuticals/jobs/8546653002
6,Compliance,Otsuka,"Manager, Corporate Compliance",Manager,Pharma,(Not captured in reviewed excerpt),Not captured,PARTIAL,Business context = embedded in role,HCP fee-for-service; fraud & abuse; financial transparency; state drug price transparency; state rep licensure; cross-border codes,HCP spend; product commercialization lifecycle; business plans,Excerpt verified,Not re-checked,5/30/2026,https://builtin.com/job/manager-corporate-compliance/7024762
7,Compliance,BeOne Medicines,"Associate Director, Compliance - North America",Associate Director,Pharma,BA/BS required; J.D./advanced preferred but NOT required; 8+ yrs,"Preferred, not required",YES,Business fluency = stated qualification (Finance/Procurement/FMV/ERM),Anti-Kickback Statute; FDCA; HIPAA; Federal Sunshine Act (Open Payments); State Transparency; PhRMA Code; FCA; OIG,FMV (fair-market value); Finance; Procurement; ERM; TPRM; annual planning,Excerpt verified,Not re-checked,5/30/2026,https://www.remoterocketship.com/us/company/businesswire-6/jobs/associate-director-compliance-north-america-united-states-remote/
8,Compliance,MedImpact Healthcare Systems,"Director, Compliance",Director,PBM / pharma services,(Not captured in reviewed excerpt),Not captured,PARTIAL,Business context = embedded in role,HIPAA (privacy & security focus); health & wellness compliance program,Vendor management; departmental compliance activities,Excerpt verified,Not re-checked,5/30/2026,https://builtin.com/job/director-compliance/7710023
9,Compliance,"Nuvalent, Inc.","Vice President, Compliance (Biopharma)",VP,Biopharma,(Not captured in reviewed excerpt),Not captured,YES,Business fluency = stated qualification (risk-based business analysis),FDCA; False Claims Act; Anti-Kickback Statute; OIG guidance; Sunshine Act; FCPA; fraud & abuse; transparency,Risk-based business analysis; commercialization of branded products,Excerpt verified,Posting since expired,5/30/2026,https://job-boards.greenhouse.io/nuvalent/jobs/5811667004
10,Compliance,Care Access,"Senior Manager, Compliance Operations",Senior Manager,Clinical research / pharma,(Not captured in reviewed excerpt); 5+ yrs legal/compliance ops,Not captured,PARTIAL,Business context = embedded in role,Privacy & compliance program support; contract lifecycle management; quality dept support,Contract lifecycle management; legal operations; project management,Excerpt verified,Posting since expired,5/30/2026,https://job-boards.greenhouse.io/careaccess/jobs/4229870009
11,Commercial,Immunovant (IMVT),"Executive Director, Commercial Operations",Executive Director,Biotech,BA/BS required; MBA and/or other graduate degree strongly preferred,Preferred (MBA),NO,"Compliance = delegated responsibility, not a qualification","FDA; OIG; company compliance standards (named as duties to ensure, not required knowledge)",Gross-to-net modeling; forecasting; incentive compensation; pricing; CRM; demand planning; P&L,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/imvtcorporation/jobs/5829708004
12,Commercial,Vertex Pharmaceuticals,Global Marketing Research Associate Director,Associate Director,Biotech / Pharma,Bachelor's degree in relevant discipline required (no advanced degree mentioned),Not mentioned,NO,Compliance = absent from the posting,NONE named,Long Range Plan forecast model; brand planning; commercialization; go-to-market; launch planning; analytics,Full-text fetched,Archived (removed Oct 2025); text preserved,5/30/2026,https://builtin.com/job/global-marketing-research-associate-director/7393750
13,Commercial,Mineralys Therapeutics,"Director, HCP Marketing & Thought Leader Engagement",Director,Biotech,Bachelor's degree required; MBA or advanced degree preferred,Preferred (MBA),NO,"Compliance = embedded responsibility (most compliance-specific of the commercial set), still not a stated qualification",FMV adherence; Sunshine Act reporting; HCP contracting; promotional content review (all as duties),KOL engagement; medical congresses; advisory boards; speaker programs; brand strategy,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/mineralystherapeutics/jobs/5110606008
14,Commercial,Summit Therapeutics,"Senior Director, Sales Operations (Oncology)",Senior Director,Pharma (oncology),Bachelor's degree required; MBA or advanced degree preferred,Preferred (MBA),NO,"Compliance = delegated responsibility, not a qualification",Compliant IC plans; promotional-activity compliance; legal/regulatory/quality field-ops compliance (all as duties),IC modeling; CRM (Veeva/Salesforce); forecasting; commercial analytics; segmentation; field data,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/summittherapeutics/jobs/4174529009
15,Commercial,Summit Therapeutics,"Executive Director, US Market Access Strategy",Executive Director,Pharma (oncology),"BS/BA degree required, advanced degree a plus",Preferred (a plus),NO,"Compliance = delegated responsibility / generic adherence, not domain fluency",Generic compliant execution; collaborate w/ legal/regulatory/compliance (as duties),Pricing; contracting; HEOR; payer value; budget & projections; business development,Full-text fetched,Live at scan,5/30/2026,https://job-boards.greenhouse.io/summittherapeutics/jobs/4224815009
16,Commercial,Zenas BioPharma,"VP, Head of US Commercial Insights & Analytics",VP,Biopharma,"BS/BA in business or related; advanced degree preferred (MBA, MPH, PharmD, PhD)",Preferred (MBA among options),NO,Compliance = absent from reviewed text,NONE named (channel inventory; market-access partner metrics only),Commercial analytics; channel/inventory management; market-access metrics; leadership reporting,Excerpt verified,Not re-checked,5/30/2026,https://builtin.com/job/vp-head-us-commercial-insights-and-analytics/3109260
17,Commercial,Inizio / STEM,"Vice President / Associate VP, Commercial Team",VP / AVP,Pharma services,(Not captured in reviewed excerpt); reports to Chief Commercial Officer,Not captured,NO,Compliance = absent from reviewed text,NONE named in reviewed text,Business development; account targets; client relationships; operational delivery,Excerpt verified,Not re-checked,5/30/2026,https://builtin.com/job/vice-president-commercial-team/7663399
18,Commercial,Jazz Pharmaceuticals,"Associate Director, Commercial AI Technical Lead",Associate Director,Pharma,(Not captured in reviewed excerpt),Not captured,NO,Compliance = absent from reviewed text,NONE named in reviewed text,AI / advanced analytics; Commercial technical leadership; data & AI partnership,Excerpt verified,Not re-checked,5/30/2026,https://careers.jazzpharma.com/jobs/
